pathway	compound
hsa00130	C00156
hsa00130	C00223
hsa00130	C00251
hsa00130	C00341
hsa00130	C00353
hsa00130	C00399
hsa00130	C00423
hsa00130	C00544
hsa00130	C00811
hsa00130	C00828
hsa00130	C00885
hsa00130	C01179
hsa00130	C02059
hsa00130	C02477
hsa00130	C02483
hsa00130	C02730
hsa00130	C02949
hsa00130	C03160
hsa00130	C03313
hsa00130	C03657
hsa00130	C03964
hsa00130	C03993
hsa00130	C04145
hsa00130	C05427
hsa00130	C05807
hsa00130	C05817
hsa00130	C05819
hsa00130	C05847
hsa00130	C05848
hsa00130	C05849
hsa00130	C06986
hsa00130	C10793
hsa00130	C13309
hsa00130	C14151
hsa00130	C14152
hsa00130	C14153
hsa00130	C14154
hsa00130	C14155
hsa00130	C14156
hsa00130	C15547
hsa00130	C15882
hsa00130	C15883
hsa00130	C16519
hsa00130	C16695
hsa00130	C16999
hsa00130	C17010
hsa00130	C17017
hsa00130	C17018
hsa00130	C17412
hsa00130	C17551
hsa00130	C17552
hsa00130	C17554
hsa00130	C17559
hsa00130	C17560
hsa00130	C17561
hsa00130	C17562
hsa00130	C17570
hsa00130	C18131
hsa00130	C18132
hsa00130	C18133
hsa00130	C18134
hsa00130	C18135
hsa00130	C19847
hsa00130	C20265
hsa00130	C20737
hsa00130	C20738
hsa00130	C20772
hsa00130	C20773
hsa00130	C21084
hsa00130	C22039
hsa00140	C00187
hsa00140	C00280
hsa00140	C00410
hsa00140	C00468
hsa00140	C00523
hsa00140	C00535
hsa00140	C00674
hsa00140	C00735
hsa00140	C00762
hsa00140	C00951
hsa00140	C01124
hsa00140	C01176
hsa00140	C01227
hsa00140	C01780
hsa00140	C01953
hsa00140	C02140
hsa00140	C02373
hsa00140	C02537
hsa00140	C02538
hsa00140	C03205
hsa00140	C03681
hsa00140	C03747
hsa00140	C03772
hsa00140	C03852
hsa00140	C03917
hsa00140	C03935
hsa00140	C04042
hsa00140	C04295
hsa00140	C04373
hsa00140	C04518
hsa00140	C04555
hsa00140	C04676
hsa00140	C05138
hsa00140	C05139
hsa00140	C05140
hsa00140	C05141
hsa00140	C05284
hsa00140	C05285
hsa00140	C05290
hsa00140	C05291
hsa00140	C05293
hsa00140	C05294
hsa00140	C05295
hsa00140	C05296
hsa00140	C05297
hsa00140	C05298
hsa00140	C05299
hsa00140	C05300
hsa00140	C05301
hsa00140	C05302
hsa00140	C05469
hsa00140	C05470
hsa00140	C05471
hsa00140	C05472
hsa00140	C05473
hsa00140	C05474
hsa00140	C05475
hsa00140	C05476
hsa00140	C05477
hsa00140	C05478
hsa00140	C05479
hsa00140	C05480
hsa00140	C05481
hsa00140	C05482
hsa00140	C05483
hsa00140	C05484
hsa00140	C05485
hsa00140	C05487
hsa00140	C05488
hsa00140	C05489
hsa00140	C05490
hsa00140	C05497
hsa00140	C05498
hsa00140	C05499
hsa00140	C05500
hsa00140	C05501
hsa00140	C05502
hsa00140	C05503
hsa00140	C05504
hsa00140	C08357
hsa00140	C08358
hsa00140	C08359
hsa00140	C11131
hsa00140	C11132
hsa00140	C11133
hsa00140	C11134
hsa00140	C11135
hsa00140	C11136
hsa00140	C13712
hsa00140	C13713
hsa00140	C18038
hsa00140	C18039
hsa00140	C18040
hsa00140	C18041
hsa00140	C18042
hsa00140	C18043
hsa00140	C18044
hsa00140	C18045
hsa00140	C18075
hsa00190	C00001
hsa00190	C00002
hsa00190	C00003
hsa00190	C00004
hsa00190	C00007
hsa00190	C00008
hsa00190	C00009
hsa00190	C00013
hsa00190	C00042
hsa00190	C00080
hsa00190	C00122
hsa00190	C00536
hsa00220	C00011
hsa00220	C00014
hsa00220	C00025
hsa00220	C00026
hsa00220	C00049
hsa00220	C00062
hsa00220	C00064
hsa00220	C00077
hsa00220	C00086
hsa00220	C00122
