pathway	compound
hsa00790	C20559
hsa00790	C20562
hsa00790	C20566
hsa00790	C20567
hsa00790	C21007
hsa00790	C21008
hsa00790	C21065
hsa00790	C21094
hsa00790	C21107
hsa00790	C21310
hsa00790	C21485
hsa00790	C21486
hsa00790	C21640
hsa00830	C00376
hsa00830	C00473
hsa00830	C00777
hsa00830	C00778
hsa00830	C00899
hsa00830	C02075
hsa00830	C02094
hsa00830	C02110
hsa00830	C03455
hsa00830	C05914
hsa00830	C05915
hsa00830	C05916
hsa00830	C05917
hsa00830	C11061
hsa00830	C15492
hsa00830	C15493
hsa00830	C16677
hsa00830	C16678
hsa00830	C16679
hsa00830	C16680
hsa00830	C16681
hsa00830	C16682
hsa00830	C16683
hsa00830	C21797
hsa00860	C00025
hsa00860	C00032
hsa00860	C00037
hsa00860	C00188
hsa00860	C00194
hsa00860	C00430
hsa00860	C00486
hsa00860	C00500
hsa00860	C00524
hsa00860	C00541
hsa00860	C00748
hsa00860	C00853
hsa00860	C00931
hsa00860	C00992
hsa00860	C01024
hsa00860	C01051
hsa00860	C01079
hsa00860	C01708
hsa00860	C02139
hsa00860	C02191
hsa00860	C02463
hsa00860	C02469
hsa00860	C02800
hsa00860	C02823
hsa00860	C02880
hsa00860	C02987
hsa00860	C03029
hsa00860	C03114
hsa00860	C03179
hsa00860	C03194
hsa00860	C03263
hsa00860	C03516
hsa00860	C03741
hsa00860	C04122
hsa00860	C04536
hsa00860	C04778
hsa00860	C05306
hsa00860	C05307
hsa00860	C05766
hsa00860	C05767
hsa00860	C05768
hsa00860	C05769
hsa00860	C05770
hsa00860	C05772
hsa00860	C05773
hsa00860	C05774
hsa00860	C05775
hsa00860	C05777
hsa00860	C05778
hsa00860	C05779
hsa00860	C05780
hsa00860	C05781
hsa00860	C05782
hsa00860	C05783
hsa00860	C05784
hsa00860	C05785
hsa00860	C05786
hsa00860	C05787
hsa00860	C05789
hsa00860	C05790
hsa00860	C05791
hsa00860	C05793
hsa00860	C05794
hsa00860	C05795
hsa00860	C05797
hsa00860	C05798
hsa00860	C05912
hsa00860	C05913
hsa00860	C06319
hsa00860	C06320
hsa00860	C06399
hsa00860	C06406
hsa00860	C06407
hsa00860	C06408
hsa00860	C06416
hsa00860	C06503
hsa00860	C06504
hsa00860	C06505
hsa00860	C06506
hsa00860	C06507
hsa00860	C06508
hsa00860	C06509
hsa00860	C06510
hsa00860	C11242
hsa00860	C11243
hsa00860	C11538
hsa00860	C11539
hsa00860	C11540
hsa00860	C11542
hsa00860	C11543
hsa00860	C11545
hsa00860	C11630
hsa00860	C11829
hsa00860	C11830
hsa00860	C11831
hsa00860	C11832
hsa00860	C11850
hsa00860	C11851
hsa00860	C12147
hsa00860	C14818
hsa00860	C14819
hsa00860	C15670
hsa00860	C15672
hsa00860	C16242
hsa00860	C16243
hsa00860	C16244
hsa00860	C16540
hsa00860	C16541
hsa00860	C17401
hsa00860	C18021
hsa00860	C18022
hsa00860	C18064
hsa00860	C18098
hsa00860	C18151
hsa00860	C18152
hsa00860	C18153
hsa00860	C18154
hsa00860	C18155
hsa00860	C18156
hsa00860	C18157
hsa00860	C18160
hsa00860	C18161
hsa00860	C18162
hsa00860	C18163
hsa00860	C20666
hsa00860	C21217
hsa00860	C21284
hsa00860	C21427
hsa00860	C21428
hsa00860	C21429
hsa00860	C21435
hsa00860	C21510
hsa00860	C21511
hsa00860	C21512
hsa00860	C21582
hsa00860	C21723
hsa00860	C21724
hsa00860	C21835
hsa00900	C00022
hsa00900	C00024
hsa00900	C00118
hsa00900	C00129
hsa00900	C00235
hsa00900	C00332
hsa00900	C00341
hsa00900	C00353
hsa00900	C00356
hsa00900	C00418
hsa00900	C00448
hsa00900	C01107
hsa00900	C01126
hsa00900	C01143
hsa00900	C01230
hsa00900	C02321
hsa00900	C03461
hsa00900	C04145
hsa00900	C04146
hsa00900	C04216
hsa00900	C04506
hsa00900	C04574
hsa00900	C04748
hsa00900	C05427
hsa00900	C05859
hsa00900	C06081
hsa00900	C11434
hsa00900	C11435
hsa00900	C11436
hsa00900	C11437
hsa00900	C11453
hsa00900	C11811
hsa00900	C16521
hsa00900	C16826
hsa00900	C17432
hsa00900	C18321
hsa00900	C19691
hsa00900	C19760
hsa00900	C19852
hsa00900	C19853
hsa00900	C20120
hsa00900	C20121
hsa00900	C20345
hsa00900	C20847
hsa00900	C20848
hsa00910	C00011
hsa00910	C00014
hsa00910	C00025
hsa00910	C00058
hsa00910	C00064
hsa00910	C00088
hsa00910	C00169
hsa00910	C00192
hsa00910	C00244
hsa00910	C00288
hsa00910	C00488
hsa00910	C00533
hsa00910	C00697
hsa00910	C00726
hsa00910	C00887
hsa00910	C01417
hsa00910	C01563
hsa00910	C05361
hsa00910	C06058
hsa00920	C00033
hsa00920	C00042
hsa00920	C00053
hsa00920	C00054
hsa00920	C00059
hsa00920	C00065
hsa00920	C00084
hsa00920	C00087
hsa00920	C00094
hsa00920	C00097
hsa00920	C00155
hsa00920	C00224
hsa00920	C00245
hsa00920	C00263
hsa00920	C00283
hsa00920	C00320
hsa00920	C00409
hsa00920	C00580
hsa00920	C00979
hsa00920	C01118
hsa00920	C01861
hsa00920	C02084
hsa00920	C03920
hsa00920	C04022
hsa00920	C08276
hsa00920	C11142
hsa00920	C11143
hsa00920	C11145
hsa00920	C15521
hsa00920	C17267
hsa00920	C19692
hsa00920	C20870
hsa00920	C20955
hsa00970	C00025
hsa00970	C00037
hsa00970	C00041
hsa00970	C00047
hsa00970	C00049
hsa00970	C00062
hsa00970	C00064
hsa00970	C00065
hsa00970	C00073
hsa00970	C00078
hsa00970	C00079
hsa00970	C00082
hsa00970	C00097
hsa00970	C00101
hsa00970	C00123
hsa00970	C00135
hsa00970	C00148
hsa00970	C00152
hsa00970	C00183
hsa00970	C00188
hsa00970	C00234
hsa00970	C00407
hsa00970	C00886
hsa00970	C01005
hsa00970	C01931
hsa00970	C02047
hsa00970	C02163
hsa00970	C02282
hsa00970	C02412
hsa00970	C02430
hsa00970	C02553
hsa00970	C02554
hsa00970	C02702
hsa00970	C02839
hsa00970	C02984
hsa00970	C02987
hsa00970	C02988
hsa00970	C02992
hsa00970	C03125
hsa00970	C03127
hsa00970	C03294
hsa00970	C03402
hsa00970	C03511
hsa00970	C03512
hsa00970	C06112
hsa00970	C06113
hsa00970	C06481
hsa00970	C06482
hsa00970	C16138
hsa00970	C16638
hsa00970	C17022
hsa00970	C17027
hsa00980	C00745
hsa00980	C00829
hsa00980	C02617
hsa00980	C03012
hsa00980	C06205
hsa00980	C06755
hsa00980	C06790
hsa00980	C06800
hsa00980	C06899
hsa00980	C07490
hsa00980	C07535
hsa00980	C11036
hsa00980	C11088
hsa00980	C11148
hsa00980	C11149
hsa00980	C11150
hsa00980	C11278
hsa00980	C11713
hsa00980	C11714
hsa00980	C14039
hsa00980	C14040
hsa00980	C14453
hsa00980	C14556
hsa00980	C14783
hsa00980	C14784
hsa00980	C14785
hsa00980	C14786
hsa00980	C14787
hsa00980	C14788
hsa00980	C14789
hsa00980	C14790
hsa00980	C14791
hsa00980	C14792
hsa00980	C14793
hsa00980	C14796
hsa00980	C14797
hsa00980	C14798
hsa00980	C14799
hsa00980	C14800
hsa00980	C14801
hsa00980	C14802
hsa00980	C14803
hsa00980	C14804
hsa00980	C14805
hsa00980	C14806
hsa00980	C14839
hsa00980	C14840
hsa00980	C14841
hsa00980	C14842
hsa00980	C14843
hsa00980	C14844
hsa00980	C14845
hsa00980	C14846
hsa00980	C14847
hsa00980	C14848
hsa00980	C14849
hsa00980	C14850
hsa00980	C14851
hsa00980	C14852
hsa00980	C14853
hsa00980	C14854
hsa00980	C14855
hsa00980	C14856
hsa00980	C14857
hsa00980	C14858
hsa00980	C14859
hsa00980	C14860
hsa00980	C14861
hsa00980	C14862
hsa00980	C14863
hsa00980	C14864
hsa00980	C14865
hsa00980	C14866
hsa00980	C14867
hsa00980	C14868
hsa00980	C14869
hsa00980	C14870
hsa00980	C14871
hsa00980	C14872
hsa00980	C14873
hsa00980	C14874
hsa00980	C14875
hsa00980	C14876
hsa00980	C14877
hsa00980	C16453
hsa00980	C16756
hsa00980	C19488
hsa00980	C19489
hsa00980	C19490
hsa00980	C19559
hsa00980	C19561
hsa00980	C19562
hsa00980	C19563
hsa00980	C19564
hsa00980	C19565
hsa00980	C19566
hsa00980	C19567
hsa00980	C19568
hsa00980	C19569
hsa00980	C19574
hsa00980	C19577
hsa00980	C19578
hsa00980	C19579
hsa00980	C19580
hsa00980	C19581
hsa00980	C19582
hsa00980	C19585
hsa00980	C19586
hsa00980	C19588
hsa00980	C19589
hsa00980	C19590
hsa00980	C19591
hsa00980	C19592
hsa00980	C19594
hsa00980	C19595
hsa00980	C19602
hsa00980	C19603
hsa00980	C19604
hsa00980	C19605
hsa00980	C19606
hsa00980	C19607
hsa00982	C01471
hsa00982	C05011
hsa00982	C06754
hsa00982	C07493
hsa00982	C07495
hsa00982	C07496
hsa00982	C07643
hsa00982	C07644
hsa00982	C07645
hsa00982	C07646
hsa00982	C07647
hsa00982	C11004
hsa00982	C11583
hsa00982	C11785
hsa00982	C16544
hsa00982	C16545
hsa00982	C16546
hsa00982	C16547
hsa00982	C16548
hsa00982	C16549
hsa00982	C16550
hsa00982	C16551
hsa00982	C16552
hsa00982	C16553
hsa00982	C16554
hsa00982	C16555
hsa00982	C16556
hsa00982	C16557
hsa00982	C16558
hsa00982	C16559
hsa00982	C16560
hsa00982	C16561
hsa00982	C16569
hsa00982	C16570
hsa00982	C16571
hsa00982	C16572
hsa00982	C16576
hsa00982	C16577
hsa00982	C16578
hsa00982	C16582
hsa00982	C16584
hsa00982	C16586
hsa00982	C16587
hsa00982	C16591
hsa00982	C16592
hsa00982	C16595
hsa00982	C16596
hsa00982	C16601
hsa00982	C16602
hsa00982	C16603
hsa00982	C16604
hsa00982	C16605
hsa00982	C16606
hsa00982	C16607
hsa00982	C16608
hsa00982	C16609
hsa00982	C16610
hsa00982	C16612
hsa00982	C16643
hsa00982	C16648
hsa00982	C16649
hsa00982	C16650
hsa00982	C16651
hsa00982	C16652
hsa00982	C16653
hsa00982	C16654
hsa00982	C16655
hsa00982	C16656
hsa00982	C16657
hsa00982	C16658
hsa00982	C16659
hsa00982	C16660
hsa00982	C16661
hsa00982	C16662
hsa00983	C00003
hsa00983	C00006
hsa00983	C02320
hsa00983	C04242
hsa00983	C04646
hsa00983	C05361
hsa00983	C06108
hsa00983	C07446
hsa00983	C07447
hsa00983	C07585
hsa00983	C11173
hsa00983	C11376
hsa00983	C16542
hsa00983	C16543
hsa00983	C16613
hsa00983	C16614
hsa00983	C16615
hsa00983	C16616
hsa00983	C16617
hsa00983	C16618
hsa00983	C16619
hsa00983	C16620
hsa00983	C16621
hsa00983	C16622
hsa00983	C16623
hsa00983	C16624
hsa00983	C16625
hsa00983	C16630
hsa00983	C16631
hsa00983	C16632
hsa00983	C16633
hsa00983	C16634
hsa00983	C16635
hsa00983	C21748
hsa00983	C21749
hsa00983	C21750
hsa00983	C21751
hsa00983	C21754
hsa00983	C21758
hsa00983	C21759
hsa00983	C21760
hsa01040	C00154
hsa01040	C00219
hsa01040	C00249
hsa01040	C00412
hsa01040	C00510
hsa01040	C00712
hsa01040	C01530
hsa01040	C01595
hsa01040	C02041
hsa01040	C02050
hsa01040	C02249
hsa01040	C03035
hsa01040	C03242
hsa01040	C03595
hsa01040	C06425
hsa01040	C06426
hsa01040	C06427
hsa01040	C06428
hsa01040	C06429
hsa01040	C08281
hsa01040	C08316
hsa01040	C08320
hsa01040	C08323
hsa01040	C16162
hsa01040	C16163
hsa01040	C16164
hsa01040	C16165
hsa01040	C16166
hsa01040	C16167
hsa01040	C16168
hsa01040	C16169
hsa01040	C16170
hsa01040	C16171
hsa01040	C16172
hsa01040	C16173
hsa01040	C16179
hsa01040	C16180
hsa01040	C16513
hsa01040	C16522
hsa01040	C16525
hsa01040	C16526
hsa01040	C16527
hsa01040	C16528
hsa01040	C16529
hsa01040	C16530
hsa01040	C16531
hsa01040	C16532
hsa01040	C16533
hsa01040	C16645
hsa01040	C17279
hsa01040	C21072
hsa01040	C21932
hsa01040	C21934
hsa01040	C21935
hsa01040	C21937
hsa01040	C21939
hsa01040	C21941
hsa01040	C21943
hsa01040	C21945
hsa01040	C21947
hsa01040	C21949
hsa01040	C21951
hsa01040	C21953
hsa01040	C21959
hsa01040	C21961
hsa01040	C21963
hsa01040	C21965
hsa01040	C21967
hsa01040	C21981
hsa01200	C00011
hsa01200	C00014
hsa01200	C00022
hsa01200	C00024
hsa01200	C00025
hsa01200	C00026
hsa01200	C00033
hsa01200	C00036
hsa01200	C00037
hsa01200	C00041
hsa01200	C00042
hsa01200	C00048
hsa01200	C00049
hsa01200	C00058
hsa01200	C00065
hsa01200	C00067
hsa01200	C00074
hsa01200	C00083
hsa01200	C00085
hsa01200	C00091
hsa01200	C00097
hsa01200	C00100
hsa01200	C00101
hsa01200	C00111
hsa01200	C00117
hsa01200	C00118
hsa01200	C00119
hsa01200	C00122
hsa01200	C00132
hsa01200	C00136
hsa01200	C00143
hsa01200	C00149
hsa01200	C00158
hsa01200	C00160
hsa01200	C00168
hsa01200	C00169
hsa01200	C00184
hsa01200	C00197
hsa01200	C00198
hsa01200	C00199
hsa01200	C00204
hsa01200	C00218
hsa01200	C00222
hsa01200	C00227
hsa01200	C00231
hsa01200	C00232
hsa01200	C00234
hsa01200	C00236
hsa01200	C00237
hsa01200	C00257
hsa01200	C00258
hsa01200	C00267
hsa01200	C00279
hsa01200	C00283
hsa01200	C00311
hsa01200	C00332
hsa01200	C00345
hsa01200	C00354
hsa01200	C00440
hsa01200	C00445
hsa01200	C00447
hsa01200	C00488
hsa01200	C00543
hsa01200	C00565
hsa01200	C00566
hsa01200	C00577
hsa01200	C00631
hsa01200	C00668
hsa01200	C00683
hsa01200	C00877
hsa01200	C00894
hsa01200	C00979
hsa01200	C00988
hsa01200	C00989
hsa01200	C01001
hsa01200	C01005
hsa01200	C01011
hsa01200	C01013
hsa01200	C01144
hsa01200	C01182
hsa01200	C01213
hsa01200	C01217
hsa01200	C01236
hsa01200	C01274
hsa01200	C01438
hsa01200	C01732
hsa01200	C03232
hsa01200	C03561
hsa01200	C03576
hsa01200	C03618
hsa01200	C03920
hsa01200	C04330
hsa01200	C04348
hsa01200	C04377
hsa01200	C04442
hsa01200	C04488
hsa01200	C04628
hsa01200	C04832
hsa01200	C05382
hsa01200	C05668
hsa01200	C06019
hsa01200	C06027
hsa01200	C06028
hsa01200	C11062
hsa01200	C18026
hsa01200	C18323
hsa01200	C18324
hsa01200	C20238
hsa01210	C00022
hsa01210	C00025
hsa01210	C00026
hsa01210	C00036
hsa01210	C00047
hsa01210	C00049
hsa01210	C00073
hsa01210	C00077
hsa01210	C00078
hsa01210	C00079
hsa01210	C00082
hsa01210	C00109
hsa01210	C00123
hsa01210	C00141
hsa01210	C00158
hsa01210	C00166
hsa01210	C00183
hsa01210	C00233
hsa01210	C00311
hsa01210	C00322
hsa01210	C00407
hsa01210	C00417
hsa01210	C00437
hsa01210	C00441
hsa01210	C00624
hsa01210	C00671
hsa01210	C00956
hsa01210	C01069
hsa01210	C01179
hsa01210	C01180
hsa01210	C01250
hsa01210	C01251
hsa01210	C02153
hsa01210	C02226
hsa01210	C02504
hsa01210	C02612
hsa01210	C02631
hsa01210	C02937
hsa01210	C03082
hsa01210	C03219
hsa01210	C03283
hsa01210	C03719
hsa01210	C04002
hsa01210	C04133
hsa01210	C04181
hsa01210	C04236
hsa01210	C04272
hsa01210	C04350
hsa01210	C04411
hsa01210	C05379
hsa01210	C05533
hsa01210	C05662
hsa01210	C05837
hsa01210	C06006
hsa01210	C06007
hsa01210	C06010
hsa01210	C06032
hsa01210	C08401
hsa01210	C08407
hsa01210	C08409
hsa01210	C08412
hsa01210	C08417
hsa01210	C08418
hsa01210	C08426
hsa01210	C14463
hsa01210	C16516
hsa01210	C16517
hsa01210	C16518
hsa01210	C16583
hsa01210	C16588
hsa01210	C16589
hsa01210	C16597
hsa01210	C16598
hsa01210	C16600
hsa01210	C17210
hsa01210	C17211
hsa01210	C17212
hsa01210	C17213
hsa01210	C17214
hsa01210	C17215
hsa01210	C17216
hsa01210	C17217
hsa01210	C17218
hsa01210	C17219
hsa01210	C17220
hsa01210	C17221
hsa01210	C17222
hsa01210	C17223
hsa01210	C17224
hsa01210	C17225
hsa01210	C17226
hsa01210	C17227
hsa01210	C17228
hsa01210	C17229
hsa01210	C17230
hsa01210	C17231
hsa01210	C17232
hsa01210	C17233
hsa01210	C17235
hsa01210	C17236
hsa01210	C17237
hsa01210	C17238
hsa01210	C17239
hsa01210	C17240
hsa01210	C17241
hsa01210	C17242
hsa01210	C17243
hsa01210	C17244
hsa01210	C17245
hsa01210	C17246
hsa01210	C17248
hsa01210	C17249
hsa01210	C17250
hsa01210	C17251
hsa01210	C17252
hsa01210	C17253
hsa01210	C17254
hsa01210	C17255
hsa01210	C17256
hsa01210	C19491
hsa01210	C19714
hsa01210	C19886
hsa01210	C19887
hsa01210	C19888
hsa01210	C19889
hsa01210	C20327
hsa01210	C20581
hsa01210	C20582
hsa01210	C20653
hsa01210	C20654
hsa01210	C20948
hsa01210	C20949
hsa01210	C20950
hsa01210	C20951
hsa01212	C00024
hsa01212	C00083
hsa01212	C00136
hsa01212	C00154
hsa01212	C00229
hsa01212	C00249
hsa01212	C00332
hsa01212	C00383
hsa01212	C00412
hsa01212	C00510
hsa01212	C00877
hsa01212	C01144
hsa01212	C01209
hsa01212	C01832
hsa01212	C01944
hsa01212	C02041
hsa01212	C02050
hsa01212	C02249
hsa01212	C02593
hsa01212	C02990
hsa01212	C03035
hsa01212	C03221
hsa01212	C03595
hsa01212	C03939
hsa01212	C04246
hsa01212	C04618
hsa01212	C04619
hsa01212	C04620
hsa01212	C04633
hsa01212	C04688
hsa01212	C05223
hsa01212	C05258
hsa01212	C05259
hsa01212	C05260
hsa01212	C05261
hsa01212	C05262
hsa01212	C05263
hsa01212	C05264
hsa01212	C05265
hsa01212	C05266
hsa01212	C05267
hsa01212	C05268
hsa01212	C05269
hsa01212	C05270
hsa01212	C05271
hsa01212	C05272
hsa01212	C05273
hsa01212	C05274
hsa01212	C05275
hsa01212	C05276
hsa01212	C05744
hsa01212	C05745
hsa01212	C05746
hsa01212	C05747
hsa01212	C05748
hsa01212	C05749
hsa01212	C05750
hsa01212	C05751
hsa01212	C05752
hsa01212	C05753
hsa01212	C05754
hsa01212	C05755
hsa01212	C05756
hsa01212	C05757
hsa01212	C05758
hsa01212	C05759
hsa01212	C05760
hsa01212	C05761
hsa01212	C05762
hsa01212	C05763
hsa01212	C05764
hsa01212	C16162
hsa01212	C16163
hsa01212	C16164
hsa01212	C16165
hsa01212	C16166
hsa01212	C16167
hsa01212	C16168
hsa01212	C16169
hsa01212	C16170
hsa01212	C16171
hsa01212	C16172
hsa01212	C16173
hsa01212	C16179
hsa01212	C16180
hsa01212	C16216
hsa01212	C16217
hsa01212	C16218
hsa01212	C16219
hsa01212	C16220
hsa01212	C16221
hsa01212	C16374
hsa01212	C16375
hsa01212	C16376
hsa01212	C16387
hsa01212	C16388
hsa01212	C16389
hsa01212	C16528
hsa01212	C16529
hsa01212	C16530
hsa01212	C16531
hsa01212	C16532
hsa01212	C16645
hsa01212	C17279
hsa01212	C21932
hsa01212	C21934
hsa01212	C21935
hsa01212	C21937
hsa01212	C21939
hsa01212	C21941
hsa01212	C21949
hsa01212	C21951
hsa01212	C21953
hsa01212	C21959
hsa01212	C21961
hsa01212	C21963
hsa01212	C21965
hsa01212	C21967
hsa01230	C00011
hsa01230	C00014
hsa01230	C00019
hsa01230	C00021
hsa01230	C00022
hsa01230	C00025
hsa01230	C00026
hsa01230	C00036
hsa01230	C00037
hsa01230	C00041
hsa01230	C00047
hsa01230	C00049
hsa01230	C00062
hsa01230	C00064
hsa01230	C00065
hsa01230	C00073
hsa01230	C00074
hsa01230	C00077
hsa01230	C00078
hsa01230	C00079
hsa01230	C00082
hsa01230	C00097
hsa01230	C00108
hsa01230	C00109
hsa01230	C00111
hsa01230	C00117
hsa01230	C00118
hsa01230	C00119
hsa01230	C00123
hsa01230	C00135
hsa01230	C00141
hsa01230	C00148
hsa01230	C00152
hsa01230	C00155
hsa01230	C00158
hsa01230	C00166
hsa01230	C00169
hsa01230	C00183
hsa01230	C00188
hsa01230	C00197
hsa01230	C00199
hsa01230	C00231
hsa01230	C00233
hsa01230	C00236
hsa01230	C00251
hsa01230	C00254
hsa01230	C00263
hsa01230	C00279
hsa01230	C00311
hsa01230	C00322
hsa01230	C00327
hsa01230	C00407
hsa01230	C00437
hsa01230	C00441
hsa01230	C00449
hsa01230	C00493
hsa01230	C00624
hsa01230	C00631
hsa01230	C00666
hsa01230	C00671
hsa01230	C00680
hsa01230	C00826
hsa01230	C00860
hsa01230	C00944
hsa01230	C00956
hsa01230	C00979
hsa01230	C01005
hsa01230	C01100
hsa01230	C01102
hsa01230	C01118
hsa01230	C01165
hsa01230	C01179
hsa01230	C01250
hsa01230	C01251
hsa01230	C01267
hsa01230	C01269
hsa01230	C01302
hsa01230	C02291
hsa01230	C02504
hsa01230	C02612
hsa01230	C02637
hsa01230	C02739
hsa01230	C02741
hsa01230	C03082
hsa01230	C03175
hsa01230	C03232
hsa01230	C03283
hsa01230	C03287
hsa01230	C03406
hsa01230	C03506
hsa01230	C03539
hsa01230	C03871
hsa01230	C03912
hsa01230	C03972
hsa01230	C04002
hsa01230	C04076
hsa01230	C04133
hsa01230	C04272
hsa01230	C04302
hsa01230	C04390
hsa01230	C04411
hsa01230	C04421
hsa01230	C04462
hsa01230	C04666
hsa01230	C04691
hsa01230	C04896
hsa01230	C04916
hsa01230	C05345
hsa01230	C05378
hsa01230	C05382
hsa01230	C05539
hsa01230	C05662
hsa01230	C05824
hsa01230	C06006
hsa01230	C06007
hsa01230	C06010
hsa01230	C06019
hsa01230	C06032
hsa01230	C15532
hsa01230	C19886
hsa01230	C19887
hsa01230	C19888
hsa01230	C19889
hsa01230	C20258
hsa01230	C20948
hsa01230	C20949
hsa01230	C20950
hsa01230	C20951
hsa01521	C00165
hsa01521	C05981
hsa01522	C00535
hsa01522	C00575
hsa01522	C00951
hsa01522	C16547
hsa01523	C00020
hsa01523	C00073
hsa01523	C00101
hsa01523	C00119
hsa01523	C00130
hsa01523	C00143
hsa01523	C00144
hsa01523	C00155
hsa01523	C00234
hsa01523	C00364
hsa01523	C00365
hsa01523	C00415
hsa01523	C00440
hsa01523	C00504
hsa01523	C11374
hsa01523	C21279
hsa01523	C21280
hsa02010	C00009
hsa02010	C00025
hsa02010	C00031
hsa02010	C00032
hsa02010	C00034
hsa02010	C00038
hsa02010	C00041
hsa02010	C00047
hsa02010	C00049
hsa02010	C00051
hsa02010	C00059
hsa02010	C00062
hsa02010	C00064
hsa02010	C00086
hsa02010	C00089
hsa02010	C00093
hsa02010	C00095
hsa02010	C00098
hsa02010	C00107
hsa02010	C00116
hsa02010	C00120
hsa02010	C00121
hsa02010	C00134
hsa02010	C00135
hsa02010	C00137
hsa02010	C00140
hsa02010	C00151
hsa02010	C00175
hsa02010	C00181
hsa02010	C00183
hsa02010	C00185
hsa02010	C00208
hsa02010	C00212
hsa02010	C00243
hsa02010	C00244
hsa02010	C00245
hsa02010	C00255
hsa02010	C00259
hsa02010	C00288
hsa02010	C00291
hsa02010	C00315
hsa02010	C00333
hsa02010	C00338
hsa02010	C00378
hsa02010	C00379
hsa02010	C00491
hsa02010	C00503
hsa02010	C00719
hsa02010	C00753
hsa02010	C00794
hsa02010	C00855
hsa02010	C00865
hsa02010	C01083
hsa02010	C01153
hsa02010	C01157
hsa02010	C01177
hsa02010	C01279
hsa02010	C01330
hsa02010	C01487
hsa02010	C01606
hsa02010	C01630
hsa02010	C01667
hsa02010	C01674
hsa02010	C01684
hsa02010	C01834
hsa02010	C01946
hsa02010	C02273
hsa02010	C03557
hsa02010	C03611
hsa02010	C03619
hsa02010	C04137
hsa02010	C05349
hsa02010	C05402
hsa02010	C05776
hsa02010	C06227
hsa02010	C06229
hsa02010	C06230
hsa02010	C06232
hsa02010	C06705
hsa02010	C06706
hsa02010	C06707
hsa02010	C06767
hsa02010	C13768
hsa02010	C14818
hsa02010	C14819
hsa02010	C15521
hsa02010	C16421
hsa02010	C16692
hsa02010	C19609
hsa02010	C20570
hsa02010	C20573
hsa02010	C21066
hsa02010	C22040
hsa03013	C00035
hsa03013	C00044
hsa03013	C01647
hsa03320	C02165
hsa03320	C14767
hsa03320	C15493
hsa04010	C00076
hsa04010	C00165
hsa04010	C00338
hsa04010	C00575
hsa04010	C01245
hsa04012	C00076
hsa04012	C00165
hsa04012	C01245
hsa04012	C05981
hsa04014	C00035
hsa04014	C00044
hsa04014	C00076
hsa04014	C00165
hsa04014	C00575
hsa04014	C01245
hsa04014	C05981
hsa04015	C00035
hsa04015	C00044
hsa04015	C00076
hsa04015	C00165
hsa04015	C00575
hsa04020	C00002
hsa04020	C00004
hsa04020	C00076
hsa04020	C00165
hsa04020	C00575
hsa04020	C01245
hsa04020	C01330
hsa04020	C06124
hsa04020	C13050
hsa04020	C13051
hsa04022	C00020
hsa04022	C00027
hsa04022	C00076
hsa04022	C00144
hsa04022	C00212
hsa04022	C00238
hsa04022	C00533
hsa04022	C00575
hsa04022	C00942
hsa04022	C01245
hsa04024	C00020
hsa04024	C00042
hsa04024	C00076
hsa04024	C00080
hsa04024	C00165
hsa04024	C00186
hsa04024	C00212
hsa04024	C00238
hsa04024	C00288
hsa04024	C00334
hsa04024	C00416
hsa04024	C00547
hsa04024	C00575
hsa04024	C00584
hsa04024	C00698
hsa04024	C00780
hsa04024	C00788
hsa04024	C01089
hsa04024	C01245
hsa04024	C01312
hsa04024	C01330
hsa04024	C01996
hsa04024	C03758
hsa04024	C20792
hsa04024	C20793
hsa04062	C00076
hsa04062	C00165
hsa04062	C00575
hsa04062	C01245
hsa04062	C05981
hsa04064	C00076
hsa04064	C00165
hsa04064	C01245
hsa04066	C00002
hsa04066	C00007
hsa04066	C00022
hsa04066	C00024
hsa04066	C00026
hsa04066	C00031
hsa04066	C00072
hsa04066	C00076
hsa04066	C00165
hsa04066	C00186
hsa04066	C00338
hsa04066	C00533
hsa04066	C00704
hsa04066	C01245
hsa04066	C14818
hsa04068	C00008
hsa04068	C00020
hsa04068	C00025
hsa04068	C00031
hsa04068	C05981
hsa04070	C00076
hsa04070	C00137
hsa04070	C00269
hsa04070	C00416
hsa04070	C00641
hsa04070	C01177
hsa04070	C01194
hsa04070	C01204
hsa04070	C01220
hsa04070	C01243
hsa04070	C01245
hsa04070	C01272
hsa04070	C01277
hsa04070	C01284
hsa04070	C03546
hsa04070	C04006
hsa04070	C04062
hsa04070	C04063
hsa04070	C04477
hsa04070	C04549
hsa04070	C04637
hsa04070	C05981
hsa04070	C11174
hsa04070	C11526
hsa04070	C11554
hsa04070	C11555
hsa04070	C11556
hsa04070	C11557
hsa04070	C20690
hsa04071	C00065
hsa04071	C00154
hsa04071	C00165
hsa04071	C00195
hsa04071	C00212
hsa04071	C00319
hsa04071	C00346
hsa04071	C00533
hsa04071	C00550
hsa04071	C00836
hsa04071	C01245
hsa04071	C05981
hsa04071	C06124
hsa04071	C12126
hsa04071	C16845
hsa04072	C00025
hsa04072	C00076
hsa04072	C00165
hsa04072	C00416
hsa04072	C00575
hsa04072	C00639
hsa04072	C00681
hsa04072	C01245
hsa04072	C04637
hsa04072	C05981
hsa04072	C06124
hsa04080	C00002
hsa04080	C00025
hsa04080	C00037
hsa04080	C00049
hsa04080	C00099
hsa04080	C00212
hsa04080	C00245
hsa04080	C00334
hsa04080	C00388
hsa04080	C00483
hsa04080	C00506
