ID	Name	AG1	AG2	AG3	AG4	AG5	AG6	AG31	AG32	AG33	AG34	AG35	AG36	AG7	AG8	AG9	AG10	AG11	AG12	QCA06	QCA07	QCA08	QCA09	QCA10	QCA11	QCA12	QCA13	QCA14	QCA15	QCA16
ID38	Emodin	106.9630665	275.3750684	161.4866815	200.6967277	128.2402081	148.2979901	119.6550647	323.2269588	353.3932426	564.0216396	365.8026909	426.8890071	129.9239566	325.3659003	211.9665598	218.2250908	205.3657177	192.9301773	235.2086817	242.557271	252.5993016	164.1939402	376.9286461	384.9631457	165.5655211	270.984821	277.6689811	287.9352822	252.2024303
ID39	Phloretin	121.2809741	132.8762024	64.60432495	87.61391578	87.04792497	77.46580954	186.6765686	184.5947322	184.0492018	187.3377118	222.4780176	170.5534212	155.2176575	148.280323	157.9296216	181.0940375	131.5597499	141.4212185	168.3473334	138.487932	116.2919086	162.0726367	148.0526502	162.5224268	123.0288706	148.5235713	171.5687134	133.4291536	132.8554776
ID40	α-Eleostearic acid	37.65061138	109.0800853	27.35695189	25.2347739	30.87102813	113.0656855	24.79149949	18.98619164	22.11448743	45.46575452	27.26995171	23.98483476	49.63918734	78.33498159	60.28785616	101.0666605	37.52433121	22.51297488	5.095254606	47.90930004	23.7645291	41.64713618	45.84482891	50.25272427	50.16389364	35.82698627	29.29645343	46.04157208	34.05052828
ID41	Stearamide	488.7323985	537.4767127	376.31227	262.7373981	403.5395375	571.4987896	303.7212321	113.8464943	262.4373705	310.5541343	415.3749212	297.8587357	311.6685778	425.2831417	291.1502131	428.7440635	246.8258381	372.3129378	396.8217183	329.6333607	377.8769127	371.7495796	382.7389326	391.953324	338.5909832	362.3339383	400.7713217	322.7209482	364.0787621
ID42	Fisetin	4390.308431	5435.677792	4219.390032	5485.505401	4830.732025	4096.697688	6644.644955	6593.57965	6730.790105	8108.653602	8102.000569	7167.918705	7360.838887	8051.526672	7779.859938	7874.999981	7358.844589	7489.253592	5753.398993	6474.416883	5757.483932	5923.104936	5839.604193	5639.94766	6424.426891	6592.218988	5938.136013	5952.879904	6224.630665
ID43	Volkenin	15.27484641	10.42002652	18.37168731	15.46869564	15.81934354	14.96710844	18.73307973	17.06692543	15.78729569	17.56635945	12.49622452	16.59726563	357.7784281	479.0691088	327.3357167	470.3227606	361.5863702	236.8307726	68.03978177	73.01816405	85.65254199	39.24982676	87.9709482	23.37701731	71.53356689	43.43362329	44.0817041	73.17314177	61.8410208
ID44	Catechin	5744.677703	6816.801184	3908.320085	8610.062175	3289.553825	2029.373521	19867.86176	20426.29952	23535.17193	26385.54244	24244.91333	22033.83919	22696.81549	25445.50606	18704.72386	18605.95302	29188.05291	23882.41407	16153.00818	17385.57175	17037.00552	17563.05123	16205.28618	17056.74588	17235.47701	16612.48529	17000.25336	17071.47414	16446.57168
ID45	Quercetin	5397.103473	8138.666137	6790.522112	4447.917549	7315.825926	7233.192198	21362.86892	24206.0008	20743.35179	16588.88076	30676.82103	21670.07549	13874.34772	16106.8208	16790.07818	17995.40843	16333.44588	16832.86241	15074.08605	16007.80602	16175.02856	15464.39336	15103.87908	16242.9132	15239.28293	16077.47459	16502.17016	15714.32927	14908.26186
ID46	Dihomo-gamma-linolenic acid	114.3400209	68.13662572	44.02791077	60.62414604	41.83886717	28.66346146	114.6738151	157.5776845	119.4115755	61.84090629	238.6665129	197.5099814	208.8552623	147.5179709	161.854494	190.0613092	126.5991059	115.6023573	119.7492917	105.2580313	101.5876579	77.95164196	75.4861281	94.62078874	100.4629943	113.744745	96.80914421	84.43392189	88.20635098
ID47	Caftaric acid	7.937426103	12.64560783	8.677824757	15.02214127	10.36035166	5.286417933	121.7889653	159.1906594	215.0475371	126.7196454	282.1992325	205.8655357	97.95190903	88.01796735	65.10670196	75.30131515	93.85067298	90.39894439	104.2025053	90.95064049	100.1378474	98.34688988	86.31581721	80.75667299	102.5788211	91.35685168	103.5877362	95.80376492	97.52429054
ID48	Nepetin	1717.694337	2653.267489	1507.490123	1281.571237	1847.180051	2956.256016	309.1857312	439.6368152	460.3322472	548.3665601	453.2196186	275.6045703	2559.041214	4033.259339	1820.853899	5873.152362	3920.058172	3014.796212	1167.74203	1202.503985	1357.096324	1178.194587	1148.919546	1230.656616	1233.560485	1267.624949	1263.268184	1258.456627	1324.456648
ID49	Myricetin	12.05879049	12.13809453	4.222403778	21.93099754	52.61887993	3.560113733	72.58797509	77.75225955	64.52273914	75.78681161	79.5424829	64.56603793	432.602926	356.4545585	216.7010951	261.9095658	247.6899998	356.2734076	71.6901213	86.09600943	97.7787687	72.2188704	91.24095158	100.256218	98.58683121	97.87007078	92.02091537	102.5896673	97.54317314
ID50	Cirsilineol	251.7764299	146.0150578	81.96460387	228.5436092	92.52315193	79.88025299	3.193995349	3.003188134	2.717770093	3.013044099	2.103682773	2.892272863	6.75325736	9.013945969	6.714814125	7.0642217	6.017377057	9.683700449	63.36998834	56.19380605	53.08946474	67.76948143	62.9741841	50.20643512	56.49888594	55.75518431	48.96923205	52.89031798	53.85486523
ID51	Triptolide	121.8802784	152.4294958	75.3299525	114.0663793	110.0891825	31.68658594	309.5184101	334.2905803	290.2679652	258.4578033	254.7818468	251.0097032	294.394219	328.8225158	288.0815265	256.048826	273.2556402	286.7475655	230.7560224	215.5132873	210.2860785	229.2009417	224.9852606	223.9893679	216.485239	217.0833134	190.4551364	242.8685101	208.4350213
ID52	DIHYDROSAMIDIN	42.14749001	130.8310111	68.05380431	39.57186126	98.9316664	118.8481345	247.7570108	261.6014375	321.3130542	261.8923861	346.3125356	215.7371064	172.1539326	269.0197234	185.9263509	404.1827417	218.0275532	293.123234	159.2037738	162.6204058	223.3398787	163.1099959	205.7692345	196.6475821	156.4695115	133.9888538	155.8630342	160.2984012	131.2095926
ID53	Rehmaionoside C	1115.035646	634.0317386	214.8446328	374.0580937	276.1412026	130.0891361	489.3247494	543.2844141	417.1770879	282.4533713	618.8841428	769.4726236	2693.499201	2589.244882	3120.598041	3453.181395	3106.537705	2249.398238	746.5572413	700.0234985	630.492334	684.5455295	973.3272592	999.29621	999.5463039	989.8665755	750.4039169	942.0284982	639.4564262
ID54	Rehmaionoside C	43.56151308	7.364908412	12.98839379	123.4453646	16.88257855	19.54161233	299.0620988	318.6011156	384.8303641	226.8272989	586.839371	711.3190595	19.96864928	147.4842774	99.95525524	72.39928738	1240.717216	24.04845197	41.24361542	262.7351232	49.83079606	398.4264832	25.32172437	229.6884885	15.23850893	36.0661702	47.0635497	22.47787616	35.15526304
ID55	gamma-Mangostin	28.79684372	34.34629942	26.37939853	16.09060509	41.56777474	56.87526929	114.7389893	186.3029328	126.6594376	117.7907515	156.2105241	117.4025704	64.68974737	75.13024964	56.50032213	66.22701778	30.98463861	65.2324028	88.54182508	60.78302538	71.36381728	68.60279102	84.46948557	61.00778187	84.10614656	86.64941095	86.36550452	81.95923892	94.33977305
ID56	Lupenone	19.88539954	50.53824501	16.03088321	10.96494848	18.03418891	39.25652225	4.958786981	5.90323647	5.313849543	4.081622189	12.67864441	8.53521675	17.94091417	16.26147267	9.389782623	22.09868361	21.70339493	10.82758987	6.068114503	18.09581928	12.58956265	11.12904862	28.65029215	9.351511101	14.7777344	3.409320355	18.01316015	11.10354903	17.65739101
ID57	Graminiliatrin	27.28824957	38.6410746	20.99258572	19.25713726	18.78425118	45.00408287	36.13414104	69.5550656	38.01354622	50.92036661	70.05018316	55.70992115	70.81474813	77.39868222	69.03904193	91.51410558	74.62659458	59.77908063	38.29379514	34.18974324	47.30338177	38.89667218	40.7184962	37.50956808	42.36069431	36.63558861	30.22974448	41.58513985	39.94463782
ID58	Oleanolic acid	4771.659541	5434.233638	4302.713373	4793.925236	5479.910697	7343.71756	4507.067088	3810.472883	4090.19296	3997.197085	4016.089982	4132.536245	2578.565097	4606.492475	4677.265786	5437.802785	4276.334624	4304.669086	4375.473248	4232.047294	4486.746334	4372.965661	4151.112469	4280.628454	5210.906552	5437.099002	5267.535012	4814.396323	4937.000391
ID59	18-β-Glycyrrhetinic acid	1019.424859	571.8257595	286.299035	704.3224041	429.0226719	399.6753318	588.9206112	544.4022692	474.3098021	208.0208019	1215.216311	732.201455	899.3738721	1000.258771	793.774916	1312.304383	907.0960206	718.5868463	742.9645962	655.5339061	711.1864411	664.2855075	602.6108806	589.0978053	624.4263176	686.2589151	624.5558522	627.7278653	696.4510884
ID60	Aurantio-obtusin beta-D-glucoside	171.2992788	114.3308939	44.31343438	134.4895108	51.23537312	53.89614065	2.039214215	1.917392877	1.735167024	1.884533373	1.33581331	1.846578748	1.584584288	22.12396078	1.81974805	15.98503823	1.722731623	1.719764765	42.46656927	38.32283131	42.40934206	41.07305291	42.86432283	41.70917101	23.39110432	41.76268631	44.08208349	35.44402483	31.98970378
ID61	11-Deoxocucurbitacin I	38.26274932	94.75794951	66.74021611	29.8957617	43.88227077	160.5855718	5.785189588	4.857570972	4.586315659	5.09879457	3.591402182	5.17079084	27.04000924	19.47136183	22.38424254	20.5537769	14.60323681	14.36857862	23.52753292	22.11686653	27.5709988	17.13656398	20.45620086	18.89270087	19.82958216	24.82187086	15.89946378	25.50260045	25.27790328
ID62	Pheophorbide A	603.1807802	6369.061439	2368.221274	1494.131276	3203.330518	4250.326185	627.292171	662.6758701	509.9131169	1936.912516	1236.743587	1028.536664	256.124455	419.5068305	114.8343182	318.2796837	138.1340491	165.4540051	1510.1803	1128.119991	1127.82127	1241.024236	1175.127016	1575.198198	1439.275349	1189.966472	1274.435811	1420.493602	1185.30128
ID63	Amaroswerin	19.43892666	13.48746423	14.90580326	19.90780052	9.706311972	8.067276199	27.74679759	29.2378706	20.46955713	6.277054387	17.66623046	31.33170024	25.12206289	20.34309319	34.45573246	55.91591633	38.74163598	21.61799691	22.28398785	24.28690064	29.50008426	21.51076217	17.12507735	13.77845855	21.36838801	28.57654306	17.68077582	15.05015435	28.39559811
ID64	Choline	1834.853419	4617.304108	3536.550981	2538.429371	3451.215455	6210.606064	6243.456776	2758.294404	2911.06471	3306.689543	2809.09534	7103.678671	1379.247066	2967.720715	2593.722343	3353.07743	1675.301166	1864.660468	3759.578048	3312.674747	2692.18622	2154.842804	3389.495881	3321.436579	2254.904504	2465.497562	3376.124185	4071.799051	2354.449204
ID65	Adenine	753.4523094	1429.525439	1139.920084	1032.4371	1865.469093	1758.787906	899.346057	1529.610048	1731.277765	1750.600875	1590.066656	803.0086016	766.2611538	1400.664316	1071.582333	1194.941468	963.4776297	1166.799361	1652.351678	1474.816605	752.0309975	1001.918573	1568.524705	1542.644595	909.1451569	945.4832158	848.8117794	1357.241034	948.5140913
ID66	Kaempferol	862.6734194	935.4997019	889.6680387	748.0347876	1009.885548	3759.885692	4469.037183	1645.209607	1428.232538	2320.805311	1673.077861	1457.933798	1193.166342	1251.070202	930.0687633	1447.749296	1147.359797	1056.534396	3664.035897	1050.314237	2813.663615	3458.717639	1139.555783	2158.562186	1252.966486	1196.756631	3006.060236	2587.872523	1221.105063
