ID	metabolite	A148_1	A138_1	A126_1	A137_1	A152_1	A145_1	A127_1	A162_1	A132_1	A141_1	A121_1	A164_1	A128_1	A124_1	A131_1	A151_1	A146_1	A142_1	A149_1	A134_1	A157_1	A159_1	A155_1	A161_1	A156_1	A139_1	A130_1	A167_1	A123_1	A147_1	A133_1	A129_1	A160_1	A125_1	A158_1	A163_1	A135_1	A165_1	A168_1	A122_1	A140_1	A150_1	A144_1	A136_1	A166_1	A143_1	A154_1	A153_1
id85	alpha-ketoglutaric acid	623603.64	33025.89	353118.241	40117.292	339875.985	427310.061	391176.378	9057.822	532810.374	2520.467	401037.832	10184.02	500669.659	370453.099	372360.739	368650.737	557239.731	10910.637	338570.377	55787.764	21502.709	15969.669	267776.984	NA	457696.439	17768.894	422837.7	34843.366	350499.502	338854.125	6233.781	633948.798	9829.64	336114.874	NA	9927.243	17926.93	10522.122	21375.861	213853.19	23557.448	461856.89	NA	38289.557	5391.756	NA	333878.846	301222.86
id86	Dodecanol	178709.579	NA	147378.579	NA	108026.466	150534.154	166875.469	NA	146945.047	NA	191615.248	NA	182769.168	205066.861	140463.576	120091.115	216856.384	NA	113352.066	NA	NA	NA	77753.822	NA	129606.094	NA	162897.65	NA	156853.825	129922.826	NA	191351.91	NA	179258.84	NA	NA	NA	NA	NA	97265.888	NA	197767.934	NA	NA	NA	NA	96740.83	72042.625
id87	(2R,3S)-2-hydroxy-3-isopropylbutanedioic acid	857068.243	NA	858609.163	NA	582054.49	568430.228	1121645.98	NA	1085059	NA	754534.789	NA	1311836.76	1019788.8	1074974.3	588695.307	797292.19	NA	466499.334	NA	NA	NA	592057.521	NA	815856.856	NA	1133895.63	NA	1143666.46	570711.362	8254.22	1286835.1	NA	1170788.32	59703.222	NA	NA	NA	74950.44	582981.617	NA	934984.253	NA	NA	NA	NA	584143.691	351598.428
id88	MALONAMIDE 2	NA	NA	7017.566	NA	8323.795	4983.964	11518.937	NA	9195.251	NA	10257.359	NA	9015.746	12419.145	10060.29	6497.256	NA	NA	3627.211	NA	NA	NA	6060.888	NA	7914.795	NA	8697.379	NA	7299.735	6120.511	NA	9414.164	NA	13375.134	435.311	NA	NA	NA	NA	4352.589	NA	NA	NA	NA	NA	NA	NA	NA
id89	pimelic acid	27756.592	9697.386	34208.584	5938.204	33922.955	31138.884	29736.107	732.232	43445.287	4407.408	39915.452	253.244	39908.896	42298.759	32541.826	32182.667	39582.156	1354.868	60743.468	6914.426	420.487	368.527	29090.543	597.199	36389.112	596.962	37510.079	5347.37	30780.071	30938.786	3835.272	36795.968	453.976	34589.294	0	85.678	2954.062	2896.031	1386.913	NA	256.67	45123.356	4162.288	371.67	0	712.518	27702.786	7567.966
id90	1,2,4-Benzenetriol	12028.368	9293.892	10709.013	8540.303	10146.232	10454.217	11201.056	11531.849	14931.877	13395.057	18107.849	14719.297	16905.429	15225.532	13264.138	11095.664	15562.747	13351.111	19321.021	11681.092	11876.995	13181.639	14668.269	12817.123	16201.369	15005.572	17566.938	14422.01	12876.388	14383.778	13927.826	20579.316	16876.848	20403.395	18415.901	16688.914	13552.449	15674.01	18472.008	18096.829	NA	21353.008	13979.138	15815.786	15203.868	18654.494	21830.477	3698.228
id91	3-Phenyllactic acid	36624.685	39411.14	43509.57	40214.363	31669.226	32347.538	36640.822	31960.367	41347.413	36531.98	46608.971	36612.925	43077.136	39341.562	39003.882	40519.019	37305.792	40428.186	51175.007	29518.52	28396.914	32546.954	36376.632	33736.45	44844.603	35497.014	40859.821	39362.755	34257.413	30779.349	33094.797	41101.441	31070.192	40319.776	31690.2	29376.268	27604.393	28488.948	33586.116	32768.393	35357.825	43157.665	34030.622	28617.743	30997.272	32339.697	29438.734	NA
id92	Digitoxose 2	31292	30556.111	32275.956	26094.199	27006.547	37027.988	37284.199	25560.662	42471.142	29935.216	45377.004	21945.452	45136.044	52984.333	49072.525	44059.131	46581.432	29497.804	73508.788	36247.933	27175.988	24346.538	42535.874	20422.421	58958.978	28053.652	62195.925	32260.209	53235.135	49997.567	47064.897	66544.181	38544.865	77051.331	70818.04	29873.98	35696.663	23488.506	25649.038	40408.5	31242.731	76058.952	35802.092	39191.407	27013.568	33119.375	66956.981	35048.984
id93	hexadecane	92619.778	231631.322	42775.866	356155.493	454873.202	240524.993	292015.374	399318.717	NA	347783.794	275031.03	125753.685	NA	547738.589	51425.04	122104.385	401773.411	NA	256056.655	127687.756	162294.611	41704.899	220056.047	212367.795	101410.231	164081.509	89056.391	244278.186	111053.648	145186.142	442733.464	82491.661	120736.399	128381.295	434717.763	NA	NA	183134.005	78640.68	275539.944	NA	85550.527	NA	174385.627	NA	NA	145812.294	441810.372
id94	glutamic acid	80038.212	NA	87949.804	NA	120211.533	205719.977	199826.884	37286.901	110820.693	NA	94180.511	15591.099	120172.882	155796.064	124279.331	187100.057	281268.948	NA	414148.836	41640.598	158837.3	31032.145	162058.662	NA	212575.954	36988.522	125545.165	104788.408	134299.794	261376.246	37615.202	151195.496	55294.26	158197.681	27938.449	42259.645	22282.677	35847.018	102997.736	64901.838	34960.497	198585.949	8402.528	66047.144	30970.545	NA	207414.395	318051.659
