geneid	genesymbol	count
106632264	RNA28SN1	1
106632264	RNA28S4	2
693224	MIR639	1
693224	MIRN639	2
693224	HSA-MIR-639	3
26806	SNORD44	1
26806	RNU44	2
26806	U44	3
574497	MIR527	1
574497	MIRN527	2
574497	HSA-MIR-527	3
100124534	SNORA84	1
677829	SNORA49	1
677829	ACA49	2
100616208	MIR4782	1
692109	SNORD69	1
692109	HBII-210	2
101954276	RNVU1-6	1
101954276	RNU1-99	2
101954276	VU1.6	3
109864273	RNA18SN4	1
109864273	RN18S1	2
109864273	RNA18S5	3
692053	SNORD9	1
692053	MGU6-53B	2
106631781	RNA18SN1	1
106631781	RNA18S4	2
26831	RNU5A-1	1
26831	RNU5	2
26831	RNU5A	3
26831	RNU5C	4
26831	U5A	5
26831	U5B1	6
109864281	RNA5-8SN2	1
109864281	RNA5-8N2	2
109864282	RNA28SN2	1
727708	SNORD116-19	1
727708	HBII-85-19	2
100302164	MIR2113	1
100302164	HSA-MIR-2113	2
677781	SCARNA16	1
677781	ACA47	2
100423018	MIR3156-3	1
100423018	MIR-3156-3	2
26782	SNORA66	1
26782	RNU66	2
26782	U66	3
100616262	MIR4701	1
100422980	MIR4323	1
102464824	MIR6069	1
102464824	HSA-MIR-6069	2
100616169	MIR378D2	1
100616169	MIR-378D-2	2
100422985	MIR1184-2	1
91380	SNORD107	1
91380	HBII-436	2
100616190	MIR548O2	1
100616330	MIR4491	1
100616330	MIR-4491	2
101340252	SNORD121B	1
101447996	RNVU1-8	1
101447996	RNU1-145	2
101447996	VU1.8	3
100500813	MIR3646	1
692107	SNORD66	1
692107	HBII-142	2
692076	SNORD7	1
692076	Z30	2
692076	MGU6-47	3
100124536	SNORA38B	1
677808	SNORA23	1
677808	ACA23	2
100423030	MIR3126	1
100423030	MIR-3126	2
102465833	MIR4433B	1
102465833	HSA-MIR-4433B	2
101954271	RNU6-9	1
101954271	U6-9	2
109910381	RNA5-8SN3	1
101340250	SNORA11E	1
106632260	RNA5-8SN1	1
106632260	RNA5-8S4	2
677846	SNORA80A	1
677846	ACA67	2
677846	SNORA80	3
100379251	NPPA-AS1	1
100379251	NPPA-AS	2
100379251	NPPAAS	3
106631777	RNA45SN1	1
106631777	RNA45S4	2
100033432	SNORD116-21	1
100033432	HBII-85-21	2
100616249	MIR4768	1
100124540	SNORA11C	1
101054525	PGR-AS1	1
101054525	AT1	2
101054525	AT2	3
101054525	AT3	4
100500853	MIR3605	1
100500853	MIR-3605	2
100313829	MIR548O	1
100313829	MIRN548O	2
693221	MIR636	1
693221	MIRN636	2
693221	HSA-MIR-636	3
26766	RNU105C	1
26766	E1-5	2
26766	E1-6	3
100313923	MIR449C	1
100313923	MIR-449C	2
692235	SNORD103B	1
692235	U103B	2
100302286	MIR1267	1
100302286	MIRN1267	2
100302286	HSA-MIR-1267	3
102465683	MIR6511A3	1
102465683	MIR6511A-3	2
102465683	HSA-MIR-6511A-3	3
100422900	MIR3158-1	1
100422900	MIR-3158-1	2
26767	RNU105B	1
26767	105B	2
26767	E1-2	3
677818	SNORA36B	1
677818	ACA36B	2
677844	SNORA78	1
677844	ACA64	2
100422992	MIR3151	1
100422992	MIR-3151	2
677831	SNORA51	1
677831	ACA51	2
100847057	MIR5189	1
100847057	MIR-5189	2
102466268	MIR6511A1	1
102466268	MIR6511A-1	2
102466268	HSA-MIR-6511A-1	3
26829	RNU5E-1	1
26829	RNU5E	2
26829	U5E	3
85495	RPPH1	1
85495	H1RNA	2
85495	RPPH1-1	3
100422871	MIR3117	1
100422871	MIR-3117	2
574486	MIR526A2	1
574486	MIRN526A-2	2
574486	MIRN526A2	3
693142	MIR557	1
693142	MIRN557	2
693142	HSA-MIR-557	3
26851	SNORD3B-1	1
26851	RNU3A1	2
26851	U3A	3
26851	U3B1	4
26851	U3B2	5
100847046	MIR5010	1
100847046	MIR-5010	2
102465523	MIR6867	1
102465523	HSA-MIR-6867	2
109864271	RNA45SN4	1
109864271	RNA45S5	2
106633801	SCARNA28	1
106633801	ZL1	2
6044	SNORA62	1
6044	E2	2
6044	E2-1	3
6044	RNE2	4
6044	RNU108	5
693154	MIR569	1
693154	MIRN569	2
693154	HSA-MIR-569	3
319103	SNORD8	1
319103	RNU6C	2
319103	MGU6-53	3
102466723	MIR6734	1
102466723	HSA-MIR-6734	2
677777	SCARNA12	1
677777	U89	2
109864280	RNA18SN2	1
100126307	MIR892B	1
100126307	MIRN892B	2
693234	MIR649	1
693234	MIRN649	2
693234	HSA-MIR-649	3
100302255	MIR1323	1
100302255	MIRN1323	2
100302255	HSA-MIR-1323	3
100302255	MIR-1323	4
100616401	MIR4520-1	1
100616401	MIR4520A	2
100616401	HSA-MIR-4520-1	3
100616401	MIR-4520-1	4
6043	SNORA63	1
6043	E3	2
6043	E3-2	3
6043	RNE3	4
6043	RNU107	5
6043	SNORA63A	6
6043	ELF-4AII	7
100302288	MIR548P	1
100302288	MIRN548P	2
100302288	HSA-MIR-548P	3
338427	SNORD108	1
338427	HBII-437	2
100422867	MIR378C	1
100422867	MIR-378C	2
692089	SNORD19	1
692089	HBII-108	2
100422957	MIR3131	1
100422957	MIR-3131	2
102465985	MIR6511B2	1
102465985	MIR6511B-2	2
102465985	HSA-MIR-6511B-2	3
109910379	RNA45SN3	1
693220	MIR635	1
693220	MIRN635	2
693220	HSA-MIR-635	3
100422977	MIR1184-3	1
26832	RNU5B-1	1
26832	RNU5B	2
26832	RNU5B-1P	3
26832	U5B1	4
100616301	MIR4674	1
109910382	RNA28SN3	1
26787	SNORD61	1
26787	HBII-342	2
26787	RNU61	3
26787	U61	4
6080	SNORA73A	1
6080	E1	2
6080	E1-7	3
6080	E1B	4
6080	RNE1	5
6080	RNU17A	6
6080	U17A	7
26784	SNORA64	1
26784	RNU64	2
26784	U64	3
100616406	MIR4521	1
100616406	MIR-4521	2
338429	SNORD109B	1
338429	HBII-438B	2
109864279	RNA45SN2	1
100500847	MIR3615	1
100500847	MIR-3615	2
26778	SNORA70	1
26778	DXS648E	2
26778	RNU70	3
26778	U70	4
102466247	MIR1273H	1
102466247	HSA-MIR-1273H	2
100124537	SNORA70B	1
100616430	MIR4644	1
102465429	MIR6511B1	1
102465429	MIR6511B-1	2
102465429	HSA-MIR-6511B-1	3
100500804	MIR3654	1
100616385	MIR4732	1
100616385	MIR-4732	2
677821	SNORA71E	1
677821	ACA39	2
677821	SNORA39	3
677832	SNORA53	1
677832	ACA53	2
677806	SNORA20	1
677806	ACA20	2
267010	RNU12	1
267010	RNU12-1	2
267010	RNU12L	3
267010	RNU12P	4
267010	DJ222E13.7	5
109864272	RNA28SN4	1
109864272	RN28S1	2
109864272	RNA28S5	3
6066	RNU2-1	1
6066	RNU2	2
6066	U2	3
677836	SNORA58	1
677836	ACA58	2
677836	SNORA58B	3
100033419	SNORD116-7	1
100033419	HBII-85-7	2
26830	RNU5D-1	1
26830	RNU5D	2
26830	U5DL	3
26830	U5DS	4
26792	SNORD57	1
26792	RNU57	2
26792	U57	3
100302210	MIR1909	1
100302210	MIRN1909	2
100302210	HSA-MIR-1909	3
100302210	MIR-1909	4
677802	SNORA14B	1
677802	ACA14B	2
109617009	SNORA74C-2	1
109910380	RNA18SN3	1
100302275	MIR548L	1
100302275	MIRN548L	2
100302275	HSA-MIR-548L	3
100616424	MIR4707	1
100616424	MIR-4707	2
100423033	MIR3158-2	1
100423033	MIR-3158-2	2
100033425	SNORD116-13	1
100033425	HBII-85-13	2
100113381	SNORD19B	1
100124538	SNORA70C	1
100124538	U70C	2
724027	MIR657	1
724027	MIRN657	2
724027	HSA-MIR-657	3
619383	SCARNA9	1
619383	Z32	2
619383	MGU2-19/30	3
693163	MIR578	1
693163	MIRN578	2
693163	HSA-MIR-578	3
574474	MIR518B	1
574474	MIRN518B	2
574474	MIR-518B	3
100033413	SNORD116-1	1
100033413	HBII-85-1	2
100033413	PWCR1	3
100507527	THEG5	1
100128108	PUTATIVE UBIQUITIN-CONJUGATING ENZYME E2Q2-LIKE PROTEIN	1
100528064	NEDD8-MDP1	1
