pathway	geneid
ctp00053	CTRG_04471
ctp00053	CTRG_05010
ctp00053	CTRG_05457
ctp00061	CTRG_00509
ctp00061	CTRG_00597
ctp00061	CTRG_01002
ctp00061	CTRG_01007
ctp00061	CTRG_01015
ctp00061	CTRG_01503
ctp00061	CTRG_02265
ctp00061	CTRG_02501
ctp00061	CTRG_02531
ctp00061	CTRG_02563
ctp00061	CTRG_03474
ctp00061	CTRG_04022
ctp00061	CTRG_05241
ctp00061	CTRG_05500
ctp00061	CTRG_05829
ctp00061	CTRG_06166
ctp00062	CTRG_00395
ctp00062	CTRG_00620
ctp00062	CTRG_03474
ctp00062	CTRG_03563
ctp00062	CTRG_04406
ctp00062	CTRG_05223
ctp00062	CTRG_05224
ctp00062	CTRG_06166
ctp00071	CTRG_00882
ctp00071	CTRG_01068
ctp00071	CTRG_01142
ctp00071	CTRG_01331
ctp00071	CTRG_01335
ctp00071	CTRG_01342
ctp00071	CTRG_01503
ctp00071	CTRG_01584
ctp00071	CTRG_01595
ctp00071	CTRG_02168
ctp00071	CTRG_02265
ctp00071	CTRG_02374
ctp00071	CTRG_02377
ctp00071	CTRG_02563
ctp00071	CTRG_02721
ctp00071	CTRG_03043
ctp00071	CTRG_03045
ctp00071	CTRG_04022
ctp00071	CTRG_04471
ctp00071	CTRG_05010
ctp00071	CTRG_05127
ctp00071	CTRG_05197
ctp00071	CTRG_05482
ctp00071	CTRG_05500
ctp00071	CTRG_05829
ctp00071	CTRG_05836
ctp00071	CTRG_05958
ctp00071	CTRG_06113
ctp00072	CTRG_01584
ctp00072	CTRG_01733
ctp00072	CTRG_05936
ctp00100	CTRG_00198
ctp00100	CTRG_00908
ctp00100	CTRG_00974
ctp00100	CTRG_01138
ctp00100	CTRG_01395
ctp00100	CTRG_01764
ctp00100	CTRG_01765
ctp00100	CTRG_01858
ctp00100	CTRG_01869
ctp00100	CTRG_02396
ctp00100	CTRG_03645
ctp00100	CTRG_03653
ctp00100	CTRG_04041
ctp00100	CTRG_04378
ctp00100	CTRG_04480
ctp00100	CTRG_04630
ctp00100	CTRG_04983
ctp00100	CTRG_05283
ctp00100	CTRG_05483
ctp00100	CTRG_05501
ctp00100	CTRG_06185
ctp00130	CTRG_00571
ctp00130	CTRG_00572
ctp00130	CTRG_00584
ctp00130	CTRG_00589
ctp00130	CTRG_01079
ctp00130	CTRG_01459
ctp00130	CTRG_01779
ctp00130	CTRG_01861
ctp00130	CTRG_01887
ctp00130	CTRG_02881
ctp00130	CTRG_04559
ctp00130	CTRG_05382
ctp00130	CTRG_05785
ctp00190	CTRG_00007
ctp00190	CTRG_00119
ctp00190	CTRG_00125
ctp00190	CTRG_00262
ctp00190	CTRG_00269
ctp00190	CTRG_00535
ctp00190	CTRG_00555
ctp00190	CTRG_00643
ctp00190	CTRG_00836
ctp00190	CTRG_00851
ctp00190	CTRG_00878
ctp00190	CTRG_00957
ctp00190	CTRG_01055
ctp00190	CTRG_01110
ctp00190	CTRG_01195
ctp00190	CTRG_01250
ctp00190	CTRG_01253
ctp00190	CTRG_01263
ctp00190	CTRG_01293
ctp00190	CTRG_01451
ctp00190	CTRG_01517
ctp00190	CTRG_01518
ctp00190	CTRG_01562
ctp00190	CTRG_01568
ctp00190	CTRG_01603
ctp00190	CTRG_01607
ctp00190	CTRG_01636
ctp00190	CTRG_01696
ctp00190	CTRG_01700
ctp00190	CTRG_01816
ctp00190	CTRG_01863
ctp00190	CTRG_01937
ctp00190	CTRG_02121
ctp00190	CTRG_02148
ctp00190	CTRG_02150
ctp00190	CTRG_02172
ctp00190	CTRG_02304
ctp00190	CTRG_02310
ctp00190	CTRG_02418
ctp00190	CTRG_02693
ctp00190	CTRG_02762
ctp00190	CTRG_02934
ctp00190	CTRG_03012
ctp00190	CTRG_03244
ctp00190	CTRG_03245
ctp00190	CTRG_03404
ctp00190	CTRG_03416
ctp00190	CTRG_03516
ctp00190	CTRG_03545
ctp00190	CTRG_03603
ctp00190	CTRG_03795
ctp00190	CTRG_03802
