geneid	genesymbol	count
CTRG_00272	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00273	HYPOTHETICAL PROTEIN	1
CTRG_00274	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00275	HYPOTHETICAL PROTEIN	1
CTRG_00276	PREDICTED PROTEIN	1
CTRG_00277	PREDICTED PROTEIN	1
CTRG_00278	PREDICTED PROTEIN	1
CTRG_00279	PREDICTED PROTEIN	1
CTRG_00280	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00281	DNA-DIRECTED RNA POLYMERASES II SUBUNIT	1
CTRG_00282	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00283	PROTEIN MGM1	1
CTRG_00283	MITOCHONDRIAL PRECURSOR	2
CTRG_00284	HYPOTHETICAL PROTEIN	1
CTRG_00285	PREDICTED PROTEIN	1
CTRG_00286	OPAQUE-SPECIFIC ABC TRANSPORTER CDR3	1
CTRG_00287	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00288	PREDICTED PROTEIN	1
CTRG_00289	PREDICTED PROTEIN	1
CTRG_00290	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00291	PREDICTED PROTEIN	1
CTRG_00292	PREDICTED PROTEIN	1
CTRG_00293	PREDICTED PROTEIN	1
CTRG_00294	HYPOTHETICAL PROTEIN	1
CTRG_00295	PREDICTED PROTEIN	1
CTRG_00296	PREDICTED PROTEIN	1
CTRG_00297	PREDICTED PROTEIN	1
CTRG_00298	PREDICTED PROTEIN	1
CTRG_00299	PREDICTED PROTEIN	1
CTRG_00300	PREDICTED PROTEIN	1
CTRG_00301	HYPOTHETICAL PROTEIN	1
CTRG_00302	PREDICTED PROTEIN	1
CTRG_00303	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00304	PREDICTED PROTEIN	1
CTRG_00305	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00306	PREDICTED PROTEIN	1
CTRG_00307	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00308	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00309	HYPOTHETICAL PROTEIN	1
CTRG_00310	PREDICTED PROTEIN	1
CTRG_00311	PREDICTED PROTEIN	1
CTRG_00312	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00313	PREDICTED PROTEIN	1
CTRG_00314	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00315	PREDICTED PROTEIN	1
CTRG_00316	HYPOTHETICAL PROTEIN	1
CTRG_00317	HYPOTHETICAL PROTEIN	1
CTRG_00318	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00319	HYPOTHETICAL PROTEIN	1
CTRG_00320	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00321	26S PROTEASOME REGULATORY SUBUNIT RPN6	1
CTRG_00322	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00323	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00324	PEPTIDE CHAIN RELEASE FACTOR 1	1
CTRG_00324	MITOCHONDRIAL PRECURSOR	2
CTRG_00325	EXOSOME COMPLEX EXONUCLEASE RRP4	1
CTRG_00326	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00327	HYPOTHETICAL PROTEIN	1
CTRG_00328	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00329	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00330	PREDICTED PROTEIN	1
CTRG_00331	PREDICTED PROTEIN	1
CTRG_00332	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00333	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00334	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00335	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00336	HYPOTHETICAL PROTEIN	1
CTRG_00337	PREDICTED PROTEIN	1
CTRG_00338	TYROSYL-TRNA SYNTHETASE	1
CTRG_00339	HYPOTHETICAL PROTEIN	1
CTRG_00340	HYPOTHETICAL PROTEIN	1
CTRG_00341	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00342	HYPOTHETICAL PROTEIN	1
CTRG_00343	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00344	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00345	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00346	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00347	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00348	PREDICTED PROTEIN	1
CTRG_00349	PREDICTED PROTEIN	1
CTRG_00351	PREDICTED PROTEIN	1
CTRG_00350	PREDICTED PROTEIN	1
CTRG_00352	PREDICTED PROTEIN	1
CTRG_00353	HYPOTHETICAL PROTEIN	1
CTRG_00354	U3 SMALL NUCLEOLAR RIBONUCLEOPROTEIN PROTEIN IMP4	1
CTRG_00355	HYPOTHETICAL PROTEIN	1
CTRG_00356	HYPOTHETICAL PROTEIN	1
CTRG_00357	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00358	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00359	HYPOTHETICAL PROTEIN	1
CTRG_00360	HYPOTHETICAL PROTEIN	1
CTRG_00361	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00362	HYPOTHETICAL PROTEIN	1
CTRG_00363	26S PROTEASE SUBUNIT RPT4	1
CTRG_00364	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00365	CELL DIVISION CONTROL PROTEIN 31	1
CTRG_00366	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00367	PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE GPI3 SUBUNIT	1
CTRG_00368	PREDICTED PROTEIN	1
CTRG_00369	HYPOTHETICAL PROTEIN	1
CTRG_00370	HYPOTHETICAL PROTEIN	1
CTRG_00371	HYPOTHETICAL PROTEIN	1
CTRG_00372	HYPOTHETICAL PROTEIN	1
CTRG_00373	BIFUNCTIONAL PURINE BIOSYNTHESIS PROTEIN ADE17	1
CTRG_00374	60S RIBOSOMAL PROTEIN L15-B	1
CTRG_00375	PREDICTED PROTEIN	1
CTRG_00376	HYPOTHETICAL PROTEIN	1
CTRG_00377	PREDICTED PROTEIN	1
CTRG_00378	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00379	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00380	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00381	NUCLEOLAR PROTEIN NOP2	1
CTRG_00382	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00383	CONSERVED HYPOTHETICAL PROTEIN	1
