pathway	geneid
cal00051	CAALFM_C401750CA
cal00051	CAALFM_C406380WA
cal00051	CAALFM_C406390WA
cal00051	CAALFM_C504810WA
cal00051	CAALFM_C604580WA
cal00051	CAALFM_C701800CA
cal00051	CAALFM_CR04510WA
cal00051	CAALFM_CR07150WA
cal00051	CAALFM_CR07170WA
cal00051	CAALFM_CR07490CA
cal00051	CAALFM_CR08550WA
cal00052	CAALFM_C102130CA
cal00052	CAALFM_C102150WA
cal00052	CAALFM_C102180WA
cal00052	CAALFM_C110290WA
cal00052	CAALFM_C110550CA
cal00052	CAALFM_C307490WA
cal00052	CAALFM_C504810WA
cal00052	CAALFM_C504940WA
cal00052	CAALFM_C604580WA
cal00052	CAALFM_C701800CA
cal00052	CAALFM_CR02820WA
cal00052	CAALFM_CR04510WA
cal00052	CAALFM_CR04660CA
cal00052	CAALFM_CR07150WA
cal00052	CAALFM_CR07490CA
cal00052	CAALFM_CR10790WA
cal00053	CAALFM_C100410CA
cal00053	CAALFM_C202970CA
cal00053	CAALFM_C504120CA
cal00053	CAALFM_C702010CA
cal00061	CAALFM_C111700CA
cal00061	CAALFM_C206070WA
cal00061	CAALFM_C300200CA
cal00061	CAALFM_C302810CA
cal00061	CAALFM_C304830CA
cal00061	CAALFM_C305070WA
cal00061	CAALFM_C305980CA
cal00061	CAALFM_C403200CA
cal00061	CAALFM_C500190CA
cal00061	CAALFM_C704180WA
cal00061	CAALFM_CR00640WA
cal00061	CAALFM_CR00710CA
cal00061	CAALFM_CR05690WA
cal00061	CAALFM_CR10160WA
cal00062	CAALFM_C101050CA
cal00062	CAALFM_C111700CA
cal00062	CAALFM_C112790CA
cal00062	CAALFM_C300200CA
cal00062	CAALFM_C703040WA
cal00062	CAALFM_C703050WA
cal00062	CAALFM_CR04490CA
cal00062	CAALFM_CR06070WA
cal00071	CAALFM_C100410CA
cal00071	CAALFM_C108330CA
cal00071	CAALFM_C200780WA
cal00071	CAALFM_C202970CA
cal00071	CAALFM_C204310WA
cal00071	CAALFM_C204470WA
cal00071	CAALFM_C204480WA
cal00071	CAALFM_C206070WA
cal00071	CAALFM_C301460CA
cal00071	CAALFM_C301930WA
cal00071	CAALFM_C301960CA
cal00071	CAALFM_C302810CA
cal00071	CAALFM_C305980CA
cal00071	CAALFM_C505050WA
cal00071	CAALFM_C603560WA
cal00071	CAALFM_C702010CA
cal00071	CAALFM_C704180WA
cal00071	CAALFM_CR00150CA
cal00071	CAALFM_CR02070CA
cal00071	CAALFM_CR08670CA
cal00071	CAALFM_CR08690CA
cal00071	CAALFM_CR08920WA
cal00071	CAALFM_CR10160WA
cal00071	CAALFM_CR10250CA
cal00072	CAALFM_C204310WA
cal00072	CAALFM_C207240CA
cal00072	CAALFM_CR09160CA
cal00100	CAALFM_C100800CA
cal00100	CAALFM_C104770CA
cal00100	CAALFM_C108590CA
cal00100	CAALFM_C113510CA
cal00100	CAALFM_C200740CA
cal00100	CAALFM_C202460WA
cal00100	CAALFM_C206940CA
cal00100	CAALFM_C208610WA
cal00100	CAALFM_C209400CA
cal00100	CAALFM_C300400CA
cal00100	CAALFM_C300760WA
cal00100	CAALFM_C302150CA
cal00100	CAALFM_C401530CA
cal00100	CAALFM_C406270CA
cal00100	CAALFM_C500660CA
cal00100	CAALFM_C702840CA
cal00100	CAALFM_CR01140CA
cal00100	CAALFM_CR02370WA
cal00130	CAALFM_C103550CA
cal00130	CAALFM_C200340CA
cal00130	CAALFM_C205470WA
cal00130	CAALFM_C206350CA
cal00130	CAALFM_C206870CA
cal00130	CAALFM_C208640CA
cal00130	CAALFM_C501290CA
cal00130	CAALFM_C601840CA
cal00130	CAALFM_C603630WA
cal00130	CAALFM_CR05380CA
cal00130	CAALFM_CR05390WA
cal00130	CAALFM_CR10600CA
cal00190	CAALFM_C100700WA
cal00190	CAALFM_C101010WA
cal00190	CAALFM_C103940WA
cal00190	CAALFM_C104610WA
cal00190	CAALFM_C105180CA
cal00190	CAALFM_C105190CA
cal00190	CAALFM_C105260CA
cal00190	CAALFM_C106050CA
cal00190	CAALFM_C106060CA
cal00190	CAALFM_C107600WA
cal00190	CAALFM_C108080CA
cal00190	CAALFM_C108930CA
cal00190	CAALFM_C109020WA
cal00190	CAALFM_C109030CA
cal00190	CAALFM_C109440WA
cal00190	CAALFM_C110750CA
cal00190	CAALFM_C112320CA
cal00190	CAALFM_C112590WA
cal00190	CAALFM_C113280CA
cal00190	CAALFM_C200400CA
cal00190	CAALFM_C200610CA
cal00190	CAALFM_C201180WA
cal00190	CAALFM_C201590WA
cal00190	CAALFM_C201620WA
cal00190	CAALFM_C201690WA
cal00190	CAALFM_C203210WA
cal00190	CAALFM_C203470CA
cal00190	CAALFM_C204030CA
cal00190	CAALFM_C204150CA
cal00190	CAALFM_C204550CA
cal00190	CAALFM_C204590CA
cal00190	CAALFM_C204950CA
cal00190	CAALFM_C205500WA
cal00190	CAALFM_C205920CA
cal00190	CAALFM_C205930WA
cal00190	CAALFM_C206290CA
cal00190	CAALFM_C207550WA
cal00190	CAALFM_C207590WA
cal00190	CAALFM_C208190WA
cal00190	CAALFM_C208650WA
cal00190	CAALFM_C208810CA
cal00190	CAALFM_C300460WA
cal00190	CAALFM_C300720WA
cal00190	CAALFM_C301410CA
cal00190	CAALFM_C301610WA
cal00190	CAALFM_C301630WA
cal00190	CAALFM_C302400CA
cal00190	CAALFM_C303340CA
cal00190	CAALFM_C304080WA
cal00190	CAALFM_C304390WA
cal00190	CAALFM_C304430WA
cal00190	CAALFM_C307060WA
cal00190	CAALFM_C400020WA
cal00190	CAALFM_C400270WA
cal00190	CAALFM_C400330CA
cal00190	CAALFM_C402890CA
cal00190	CAALFM_C404310WA
cal00190	CAALFM_C405240CA
cal00190	CAALFM_C406400CA
cal00190	CAALFM_C406610CA
cal00190	CAALFM_C502040WA
cal00190	CAALFM_C503350WA
cal00190	CAALFM_C505230CA
cal00190	CAALFM_C505280CA
cal00190	CAALFM_C600300CA
cal00190	CAALFM_C600720CA
cal00190	CAALFM_C602740WA
cal00190	CAALFM_C603130WA
cal00190	CAALFM_C603400CA
cal00190	CAALFM_C604250WA
cal00190	CAALFM_C701160CA
cal00190	CAALFM_C701820CA
cal00190	CAALFM_C701900WA
cal00190	CAALFM_CR00250WA
cal00190	CAALFM_CR01310WA
cal00190	CAALFM_CR01740WA
cal00190	CAALFM_CR01970CA
cal00190	CAALFM_CR02620CA
cal00190	CAALFM_CR05080WA
cal00190	CAALFM_CR05180CA
cal00190	CAALFM_CR05780WA
cal00190	CAALFM_CR10140WA
cal00190	CAALFM_CR10850CA
cal00190	CaalfMp01
cal00190	CaalfMp02
cal00190	CaalfMp03
cal00190	CaalfMp04
cal00190	CaalfMp05
cal00190	CaalfMp06
cal00190	CaalfMp07
cal00190	CaalfMp09
cal00190	CaalfMp10
cal00190	CaalfMp12
cal00190	CaalfMp13
cal00190	CaalfMp14
cal00190	CaalfMp15
cal00220	CAALFM_C104660WA
cal00220	CAALFM_C105020CA
cal00220	CAALFM_C109290CA
cal00220	CAALFM_C205250CA
cal00220	CAALFM_C207900WA
cal00220	CAALFM_C303480CA
cal00220	CAALFM_C401200CA
cal00220	CAALFM_C405070CA
cal00220	CAALFM_C406120WA
cal00220	CAALFM_C504490CA
cal00220	CAALFM_C603230WA
cal00220	CAALFM_C702150CA
cal00220	CAALFM_C703570WA
cal00220	CAALFM_CR00620CA
cal00220	CAALFM_CR05050WA
cal00220	CAALFM_CR07620WA
cal00230	CAALFM_C100340WA
cal00230	CAALFM_C101650WA
cal00230	CAALFM_C102840WA
cal00230	CAALFM_C107430WA
cal00230	CAALFM_C107710CA
cal00230	CAALFM_C107890CA
cal00230	CAALFM_C109490CA
cal00230	CAALFM_C109640WA
cal00230	CAALFM_C113870WA
cal00230	CAALFM_C200180CA
cal00230	CAALFM_C200630CA
cal00230	CAALFM_C201430WA
cal00230	CAALFM_C202510WA
cal00230	CAALFM_C202740CA
cal00230	CAALFM_C203010CA
cal00230	CAALFM_C203090CA
cal00230	CAALFM_C203160CA
cal00230	CAALFM_C203360WA
cal00230	CAALFM_C205460WA
cal00230	CAALFM_C206110WA
cal00230	CAALFM_C206390CA
cal00230	CAALFM_C206970WA
cal00230	CAALFM_C207570WA
cal00230	CAALFM_C207890WA
cal00230	CAALFM_C208460CA
cal00230	CAALFM_C300180CA
cal00230	CAALFM_C303180CA
cal00230	CAALFM_C304520CA
cal00230	CAALFM_C306340WA
cal00230	CAALFM_C307040CA
cal00230	CAALFM_C307490WA
cal00230	CAALFM_C401820CA
cal00230	CAALFM_C404270WA
cal00230	CAALFM_C406230CA
cal00230	CAALFM_C500260WA
cal00230	CAALFM_C500430WA
cal00230	CAALFM_C502290WA
cal00230	CAALFM_C502890WA
cal00230	CAALFM_C503790WA
cal00230	CAALFM_C503860WA
cal00230	CAALFM_C601910WA
cal00230	CAALFM_C603080CA
cal00230	CAALFM_C603410CA
cal00230	CAALFM_C700060CA
cal00230	CAALFM_C700870WA
cal00230	CAALFM_C703070CA
cal00230	CAALFM_CR00510CA
cal00230	CAALFM_CR02820WA
cal00230	CAALFM_CR04090CA
cal00230	CAALFM_CR04740CA
cal00230	CAALFM_CR05570CA
cal00230	CAALFM_CR06150CA
cal00240	CAALFM_C101330CA
cal00240	CAALFM_C104420CA
cal00240	CAALFM_C105650WA
cal00240	CAALFM_C107430WA
cal00240	CAALFM_C109720WA
cal00240	CAALFM_C111790WA
cal00240	CAALFM_C114310WA
cal00240	CAALFM_C203010CA
cal00240	CAALFM_C203160CA
cal00240	CAALFM_C205190WA
cal00240	CAALFM_C207430CA
cal00240	CAALFM_C207570WA
cal00240	CAALFM_C301350CA
cal00240	CAALFM_C303180CA
cal00240	CAALFM_C304220CA
cal00240	CAALFM_C307910WA
cal00240	CAALFM_C307920WA
cal00240	CAALFM_C401510WA
cal00240	CAALFM_C401550CA
cal00240	CAALFM_C406230CA
cal00240	CAALFM_C406860CA
cal00240	CAALFM_C500900CA
cal00240	CAALFM_C502890WA
cal00240	CAALFM_C503390CA
cal00240	CAALFM_C504570CA
cal00240	CAALFM_C600620WA
cal00240	CAALFM_CR01330WA
cal00240	CAALFM_CR01650WA
cal00240	CAALFM_CR05570CA
