geneid	genesymbol	count
CAALFM_C101570CA	CAO19.3347	2
CAALFM_C101580WA	CAO19.3348	1
CAALFM_C101590CA	CAO19.3349	1
CAALFM_C101600WA	MRP20	1
CAALFM_C101600WA	CAO19.3350	2
CAALFM_C101610CA	CAO19.3351	1
CAALFM_C101620CA	CAO19.3352	1
CAALFM_C101630WA	CAO19.3353	1
CAALFM_C101640WA	RPS42	1
CAALFM_C101640WA	CAO19.3354	2
CAALFM_C101650WA	ISN1	1
CAALFM_C101650WA	CAO19.3355	2
CAALFM_C101670CA	ESP1	1
CAALFM_C101670CA	CAO19.3356	2
CAALFM_C101680CA	CAO19.3357	1
CAALFM_C101690CA	LSC1	1
CAALFM_C101690CA	CAO19.3358	2
CAALFM_C101700WA	ARP8	1
CAALFM_C101700WA	CAO19.3359	2
CAALFM_C101710WA	CAO19.3360	1
CAALFM_C101740WA	CTN1	1
CAALFM_C101740WA	CAO19.4551	2
CAALFM_C101750WA	CAO19.4550	1
CAALFM_C101760WA	FGR38	1
CAALFM_C101760WA	CAO19.4549	2
CAALFM_C101770WA	MAK32	1
CAALFM_C101770WA	CAO19.4548	2
CAALFM_C101780CA	HOL4	1
CAALFM_C101780CA	CAO19.4546	2
CAALFM_C101790WA	SWI4	1
CAALFM_C101790WA	CAO19.4545	2
CAALFM_C101800WA	CAO19.4544	1
CAALFM_C101810CA	UGA2	1
CAALFM_C101810CA	CAO19.4543	2
CAALFM_C101820CA	CAO19.4542	1
CAALFM_C101830CA	UBC8	1
CAALFM_C101830CA	CAO19.4540	2
CAALFM_C101840CA	CAO19.4539	1
CAALFM_C101850CA	CAO19.4538	1
CAALFM_C101860WA	CAO19.4537	1
CAALFM_C101870CA	CYS4	1
CAALFM_C101870CA	CAO19.4536	2
CAALFM_C101880CA	PTR3	1
CAALFM_C101880CA	CAO19.4535	2
CAALFM_C101890CA	CAO19.4534	1
CAALFM_C101900CA	CAO19.4533	1
CAALFM_C101910WA	CAO19.4532	1
CAALFM_C101920WA	ROA1	1
CAALFM_C101920WA	CAO19.4531	2
