pathway	geneid
hsa00190	4535
hsa00190	4536
hsa00190	4537
hsa00190	4538
hsa00190	4539
hsa00190	4540
hsa00190	4541
hsa00190	4694
hsa00190	4695
hsa00190	4696
hsa00190	4697
hsa00190	4698
hsa00190	4700
hsa00190	4701
hsa00190	4702
hsa00190	4704
hsa00190	4705
hsa00190	4706
hsa00190	4707
hsa00190	4708
hsa00190	4709
hsa00190	4710
hsa00190	4711
hsa00190	4712
hsa00190	4713
hsa00190	4714
hsa00190	4715
hsa00190	4716
hsa00190	4717
hsa00190	4718
hsa00190	4719
hsa00190	4720
hsa00190	4722
hsa00190	4723
hsa00190	4724
hsa00190	4725
hsa00190	4726
hsa00190	4728
hsa00190	4729
hsa00190	4731
hsa00190	479
hsa00190	495
hsa00190	496
hsa00190	498
hsa00190	506
hsa00190	50617
hsa00190	509
hsa00190	51079
hsa00190	513
hsa00190	51382
hsa00190	514
hsa00190	515
hsa00190	516
hsa00190	51606
hsa00190	517
hsa00190	518
hsa00190	521
hsa00190	522
hsa00190	523
hsa00190	525
hsa00190	526
hsa00190	527
hsa00190	528
hsa00190	529
hsa00190	533
hsa00190	534
hsa00190	535
hsa00190	537
hsa00190	539
hsa00190	54539
hsa00190	5464
hsa00190	55967
hsa00190	56901
hsa00190	6389
hsa00190	6390
hsa00190	6391
hsa00190	6392
hsa00190	64077
hsa00190	7381
hsa00190	7384
hsa00190	7385
hsa00190	7386
hsa00190	7388
hsa00190	84701
hsa00190	8992
hsa00190	90423
hsa00190	9114
hsa00190	9167
hsa00190	9296
hsa00190	9377
hsa00190	9550
hsa00190	9551
hsa00220	100526760
hsa00220	1373
hsa00220	162417
hsa00220	27165
hsa00220	2744
hsa00220	2746
hsa00220	2747
hsa00220	2752
hsa00220	2805
hsa00220	2806
hsa00220	2875
hsa00220	383
hsa00220	384
hsa00220	435
hsa00220	445
hsa00220	4842
hsa00220	4843
hsa00220	4846
hsa00220	5009
hsa00220	84706
hsa00220	95
hsa00230	100
hsa00230	100526794
hsa00230	10201
hsa00230	102157402
hsa00230	10606
hsa00230	107
hsa00230	108
hsa00230	10846
hsa00230	109
hsa00230	111
hsa00230	11164
hsa00230	112
hsa00230	113
hsa00230	114
hsa00230	115
hsa00230	115024
hsa00230	122481
hsa00230	122622
hsa00230	124583
hsa00230	131870
hsa00230	132
hsa00230	158
hsa00230	158067
hsa00230	159
hsa00230	1633
hsa00230	1716
hsa00230	196883
hsa00230	203
hsa00230	204
hsa00230	205
hsa00230	221264
